"","dataset","Species","koppen_geiger"
"1","European","Avicennia marina",NA
"2","European","Actinidia arguta","Cfb; Csa; Csb; Dfb"
"3","European","Actinidia polygama","Dfb"
"4","European","Sambucus racemosa","Cfb; Csb; Dfb"
"5","European","Alangium platanifolium","Cfb; Dfb"
"6","European","Liquidambar formosana","Cfb; Csa; Dfb"
"7","European","Liquidambar orientalis","Cfb; Csa; Csb; Dfb"
"8","European","Semiliquidambar cathayensis",NA
"9","European","Bosea yervamora",NA
"10","European","Choerospondias axillaris","Cfb"
"11","European","Cotinus coggygria","Cfb; Csa; Csb; Dfb"
"12","European","Pistacia atlantica","Cfb; Csa; Csb; Dfb"
"13","European","Pistacia chinensis","Cfb; Csa; Dfb"
"14","European","Pistacia khinjuk","Csa"
"15","European","Pistacia lentiscus","Cfb; Csa; Csb"
"16","European","Pistacia terebinthus","Cfb; Csa; Csb; Dfb"
"17","European","Pistacia vera","Cfb; Csa; Csb"
"18","European","Rhus chinensis","Cfb; Dfb"
"19","European","Rhus coriaria","Cfb; Csa; Csb; Dfb"
"20","European","Rhus javanica",NA
"21","European","Rhus pentaphylla","Csa; Csb"
"22","European","Rhus potaninii","Cfb; Dfb"
"23","European","Rhus tripartita","Csa"
"24","European","Toxicodendron orientale",NA
"25","European","Toxicodendron radicans","Cfb; Csa; Dfb"
"26","European","Toxicodendron succedaneum",NA
"27","European","Toxicodendron sylvestre",NA
"28","European","Toxicodendron trichocarpum",NA
"29","European","Toxicodendron vernicifluum","Cfb; Csb; Dfb"
"30","European","Annona senegalensis","Csa"
"31","European","Bupleurum fruticosum","Cfb; Csa; Csb; Dfb"
"32","European","Anodendron affine",NA
"33","European","Calotropis procera","Cfb; Csa"
"34","European","Carissa spinarum","Csa"
"35","European","Cionura erecta","Cfb; Csa; Csb; Dfb"
"36","European","Gymnema sylvestre",NA
"37","European","Leptadenia arborea",NA
"38","European","Leptadenia lanceolata",NA
"39","European","Leptadenia pyrotechnica",NA
"40","European","Marsdenia tomentosa",NA
"41","European","Nerium oleander","Cfb; Csa; Csb; Dfb"
"42","European","Parsonsia alboflavescens","Cfb"
"43","European","Pergularia tomentosa","Cfb"
"44","European","Periploca aphylla","Csa"
"45","European","Periploca laevigata","Csa"
"46","European","Solenostemma oleifolium",NA
"47","European","Stephanotis abyssinica",NA
"48","European","Trachelospermum asiaticum","Cfb; Csa; Dfb"
"49","European","Trachelospermum gracilipes",NA
"50","European","Ilex ambigua",NA
"51","European","Ilex aquifolium","Cfb; Csa; Csb; Dfb"
"52","European","Ilex buergeri","Cfb"
"53","European","Ilex canariensis","Cfb; Csa"
"54","European","Ilex chinensis",NA
"55","European","Ilex cornuta","Cfb"
"56","European","Ilex crenata","Cfb; Csb; Dfb"
"57","European","Ilex dipyrena","Cfb"
"58","European","Ilex excelsa",NA
"59","European","Ilex fargesii","Cfb"
"60","European","Ilex ficoidea",NA
"61","European","Ilex fragilis",NA
"62","European","Ilex geniculata",NA
"63","European","Ilex goshiensis",NA
"64","European","Ilex integra","Cfb; Csb; Dfb"
"65","European","Ilex intricata",NA
"66","European","Ilex latifolia","Cfb"
"67","European","Ilex leucoclada",NA
"68","European","Ilex liukiuensis",NA
"69","European","Ilex macropoda",NA
"70","European","Ilex maximowicziana",NA
"71","European","Ilex micrococca",NA
"72","European","Ilex pedunculosa",NA
"73","European","Ilex perado","Csa; Csb"
"74","European","Ilex rotunda","Cfb; Csb"
"75","European","Ilex rugosa","Dfb"
"76","European","Ilex serrata","Cfb; Dfb"
"77","European","Ilex sugerokii",NA
"78","European","Aralia chinensis","Cfb; Dfb"
"79","European","Aralia elata","Cfb; Csa; Csb; Dfb"
"80","European","Aralia ryukyuensis",NA
"81","European","Chengiopanax sciadophylloides",NA
"82","European","Dendropanax trifidus",NA
"83","European","Eleutherococcus spinosus","Cfb"
"84","European","Fatsia japonica","Cfb; Csa; Csb; Dfb"
"85","European","Gamblea innovans",NA
"86","European","Hedera helix","Cfb; Csa; Csb; Dfb"
"87","European","Hedera rhombea","Cfb; Csa"
"88","European","Heptapleurum heptaphyllum",NA
"89","European","Kalopanax septemlobus","Cfb; Dfb"
"90","European","Aristolochia kaempferi",NA
"91","European","Artemisia absinthium","Cfb; Csa; Csb; Dfb"
"92","European","Artemisia arborescens","Cfb; Csa; Csb; Dfb"
"93","European","Artemisia herba-alba","Cfb; Csa; Csb"
"94","European","Dittrichia viscosa","Cfb; Csa; Csb; Dfb"
"95","European","Inula crithmoides",NA
"96","European","Launaea arborescens","Cfb; Csa; Csb"
"97","European","Pluchea dioscoridis","Csa"
"98","European","Psiadia punctulata",NA
"99","European","Rhanterium adpressum",NA
"100","European","Santolina chamaecyperissus",NA
"101","European","Barbeya oleoides",NA
"102","European","Berberis amurensis","Cfb; Dfb"
"103","European","Berberis oiwakensis","Cfb; Csa; Dfb"
"104","European","Berberis vulgaris","Cfb; Csa; Csb; Dfb"
"105","European","Nandina domestica","Cfb; Csa; Csb; Dfb"
"106","European","Alnus cremastogyne",NA
"107","European","Alnus glutinosa","Cfb; Csa; Csb; Dfb"
"108","European","Alnus hirsuta","Cfb; Csa; Dfb"
"109","European","Alnus incana","Cfb; Csa; Csb; Dfb"
"110","European","Alnus japonica","Cfb; Dfb"
"111","European","Alnus matsumurae","Dfb"
"112","European","Alnus maximowiczii","Cfb; Dfb"
"113","European","Alnus sieboldiana","Cfb"
"114","European","Betula alnoides","Cfb"
"115","European","Betula corylifolia","Cfb; Dfb"
"116","European","Betula costata","Cfb; Dfb"
"117","European","Betula davurica","Cfb; Dfb"
"118","European","Betula ermanii","Cfb; Dfb"
"119","European","Betula fruticosa","Cfb; Dfb"
"120","European","Betula grossa","Cfb; Dfb"
"121","European","Betula maximowicziana","Cfb; Dfb"
"122","European","Betula microphylla","Dfb"
"123","European","Betula pendula","Cfb; Csa; Csb; Dfb"
"124","European","Betula platyphylla","Cfb; Csa; Dfb"
"125","European","Betula schmidtii","Cfb; Dfb"
"126","European","Betula utilis","Cfb; Csa; Dfb"
"127","European","Carpinus betulus","Cfb; Csa; Csb; Dfb"
"128","European","Carpinus cordata","Cfb; Dfb"
"129","European","Carpinus japonica","Cfb; Dfb"
"130","European","Carpinus laxiflora","Cfb; Dfb"
